WHFLDI	WHFLDT	WHFLDB	WHFLDD	WHFLDP	WHVCNE	WHCSID	WHECDE
FLDME     	A	10	0	0	1	37	
FLDRANGE  	S	5	5	0	1	65535	
FLDVALS   	A	1	0	0	1	37	
FLDCOMP   	P	4	7	2	1	65535	
FLDCOMPC  	A	3	0	0	1	37	
FLDNEG    	S	7	7	2	1	65535	
FLDM10    	S	6	6	0	1	65535	
FLDVN     	A	9	0	0	1	37	
FLDAB     	A	5	0	0	2	37	
FLDMSG    	S	5	5	0	2	65535	
FLDMSGD   	S	5	5	0	2	65535	
FLDDTA    	A	20	0	0	0	37	
FLDMULT   	S	5	5	0	2	65535	
FLDSGL    	F	4	7	2	0	65535	
FLDDBL    	F	8	15	2	0	65535	
FLDNONE   	A	5	0	0	0	37	
